"source_file","page","list_title","document_notes","location_group","section","producer","item","ano","qty","posicion","raw_line"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","BLANCOS INTERNACIONALES","","Michel Lafarge Meursault","2022","2","CAV 3 - 0 CEN","Michel Lafarge Meursault | 2022 | 2 | CAV 3 - 0 CEN"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","BLANCOS INTERNACIONALES","","Pio Cesare","2024","2","CAV 2 - 7 IZQ","Pio Cesare | 2024 | 2 | CAV 2 - 7 IZQ"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","BLANCOS INTERNACIONALES","","Raats Chenin Blanc","2023","2","CAV 2 - 7 DER","Raats Chenin Blanc | 2023 | 2 | CAV 2 - 7 DER"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","BLANCOS INTERNACIONALES","","Sancerre Domaine Vacheron","2024","2","CAV 2 - 6 CEN","Sancerre Domaine Vacheron | 2024 | 2 | CAV 2 - 6 CEN"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","BLANCOS INTERNACIONALES","","Tardieu Laurent Nobles Origines","","2","CAV 2 - 7 CEN","Tardieu Laurent Nobles Origines | 2 | CAV 2 - 7 CEN"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","BLANCOS INTERNACIONALES","","Tramin","2024","2","CAV 2 - 7 CEN","Tramin | 2024 | 2 | CAV 2 - 7 CEN"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","BLANCOS INTERNACIONALES","","Vincent Girardin Bourgogne blanc Cuvée Saint V","incent2023","4","CAV 2 - 6 DER","Vincent Girardin Bourgogne blanc Cuvée Saint V | incent2023 | 4 | CAV 2 - 6 DER"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","BLANCOS INTERNACIONALES","","Win 0%","-","2","CAV 2 -1 IZQ","Win 0% | - | 2 | CAV 2 -1 IZQ"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","ROSADOS NACIONALES","","Chivite 125 Rosado","2024","2","CAV 2 - 9 DER","Chivite 125 Rosado | 2024 | 2 | CAV 2 - 9 DER"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","ROSADOS NACIONALES","","Dido La Soució Rosa","2023","2","CAV 2 - 9 CEN","Dido La Soució Rosa | 2023 | 2 | CAV 2 - 9 CEN"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","ROSADOS NACIONALES","","Flor de Muga Rosado","2024","3","CAV 2 - 9 DER","Flor de Muga Rosado | 2024 | 3 | CAV 2 - 9 DER"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","ROSADOS NACIONALES","","Marqués de Murrieta Primer Rose","2024","2","CAV 2 - 9 DER","Marqués de Murrieta Primer Rose | 2024 | 2 | CAV 2 - 9 DER"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","ROSADOS NACIONALES","","Palito V Clarete","2024","2","CAV 2 - 9 CEN","Palito V Clarete | 2024 | 2 | CAV 2 - 9 CEN"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","ROSADOS NACIONALES","","Pícaro del Águila Clarete","2023","2","CAV 2 - 9 DER","Pícaro del Águila Clarete | 2023 | 2 | CAV 2 - 9 DER"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","ROSADOS NACIONALES","","Territorio Luthier Clarete","2020","2","CAV 2 - 9 IZQ","Territorio Luthier Clarete | 2020 | 2 | CAV 2 - 9 IZQ"
